ref,name,addr,descript,website,video,painel,local,lat,lon
A01,Museu das Ilhas - Sede,"Rua Doutor Salomão Pires de Abrahão, 160 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Junto ao CTG Madrugada Campeira (esq. Rua Garruchos) - museudasilhaspoa@gmail.com,[[https://www.facebook.com/museu-das-ilhas-978206232226945|facebook/museu-das-ilhas]],{https://www.youtube.com/embed/-E8hsdlwc60},x,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/AA-L-G2M-Museu-das-Ilhas-Sede.jpg,-30.01567,-51.26087
A02,Mapa Turístico Ilha da Pintada,"Praça Doutor Salomão Pires de Abrahão, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS","Percurso total: 4,5km - Em frente à Colônia de Pescadores Z5",,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/A02-Museu-de-Percurso-Mapa.jpg,x,-30.01443,-51.25897
P01,Arroio Flor da Pintada,"Travessia Oscar Ferreira de Freitas, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Ponte sobre o Arroio Flor da Pintada,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P1-Arroio-Flor-da-Pintada.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L1-G1T-Arroio-Flor-da-Pintada.jpg,-30.01286,-51.26243
P02,Capela Nossa Senhora da Boa Viagem,"Rua Capitão Coelho, 300 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Fundada em 1913,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P2-Capela-Nossa-Senhora-da-Boa-Viagem.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L2-G1T-Capela-Nossa-Senhora-da-Boa-Viagem.jpg,-30.01321,-51.26155
P03,Escola E.E.M. Almirante Barroso,"Rua Capitão Coelho, 95 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Escola Estadual de Ensino Médio Almirante Barroso,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P3-Escola-Alm-Barroso-Hoje.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L3-G1M-Escola-Alm-Barroso-Hoje.jpg,-30.01415,-51.25980
P04,Professora Santa dos Santos Laydner,"Rua Capitão Coelho, 95 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Junto à Escola E.E.M. Almirante Barroso,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P4-Prof-Santa-S-Laydner.jpg,,-30.01423,-51.25975
P05,Colônia de Pescadores Ernesto Alves - Z5,"Praça Doutor Salomão Pires de Abrahão, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Em frente ao trapiche,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P5-Colonia-de-Pescadores-Z5.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L5-S-Colonia-de-Pescadores-Z5.jpg,-30.01433,-51.25907
P06,Origem do Nome da Ilha da Pintada,"Praça Doutor Salomão Pires de Abrahão, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Ao lado da Colônia de Pescadores Ernesto Alves - Z5,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P6-Nome-Ilha-da-Pintada.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L6-S-Nome-Ilha-da-Pintada.jpg,-30.01435,-51.25912
P07,Ilha da Casa da Pólvora,"Praça Doutor Salomão Pires de Abrahão, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Ao lado da Colônia de Pescadores Ernesto Alves - Z5,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P7-Ilha-da-Casa-da-Polvora.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L7-G5T-Ilha-da-Casa-da-Polvora.jpg,-30.01438,-51.25917
P08,Cartório de Registro Civil,"Praça Doutor Salomão Pires de Abrahão, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Ao lado da Colônia de Pescadores Ernesto Alves - Z5,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P8-Cartorio-de-Registro-Civil.jpg,,-30.01441,-51.25922
P09,Bairro Arquipélago,"Praça Doutor Salomão Pires de Abrahão, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Ao lado da Colônia de Pescadores Ernesto Alves - Z5,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P9-Bairro-Arquipelago.jpg,,-30.01443,-51.25927
P10,Comissariado da Ilha da Pintada,"Praça Doutor Salomão Pires de Abrahão, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Ao lado da Colônia de Pescadores Ernesto Alves - Z5,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P10-Comissariado-da-Ilha-da-Pintada.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L10-G1T-Comissariado-da-Ilha-da-Pintada.jpg,-30.01446,-51.25932
P11,CTG Madrugada Campeira,"Rua Doutor Salomão Pires de Abrahão, 160 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",(Esq. Rua Garruchos),,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P11-CTG-Madrugada-Campeira.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L11-G2M-CTG-Madrugada-Campeira.jpg,-30.01573,-51.26106
P12,Art´Escama,"Rua Doutor Salomão Pires de Abrahão, 160 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Junto ao CTG Madrugada Campeira,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P12-Art-Escama.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L12-G2T-Art-Escama.jpg,-30.01584,-51.26075
P13,Influência Açoriana,"Rua Doutor Salomão Pires de Abrahão, 160 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Junto ao CTG Madrugada Campeira,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P13-Influencia-Acoriana.jpg,,-30.01575,-51.26081
P14,Escola M.E.I. Ilha da Pintada ,"Rua Garruchos, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Escola Municipal de Educação Infantil Ilha da Pintada (esq.Rua Japeju),,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P14-Escola-MEI-Ilha-da-Pintada.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L14-G2M-Escola-MEI-Ilha%20da%20Pintada.jpg,-30.01671,-51.26050
P15,Igreja Evangélica Assembléia de Deus,"Rua Oscar Schmitt, 92 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Fundada em 1940,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P15-Igreja-Evangelica-Assembleia-de-Deus.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L15-G3M-Igreja-Evangelica-Assembleia-de-Deus.jpg,-30.01730,-51.25847
P16,Turismo Náutico - Comandante Ortiz - Mocotó,"Av. Nossa Senhora da Boa Viagem, 1184 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Barco Princesa Daiana - Casa Flututante,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P16-Turismo-Nautico-Com-Ortiz-Mocoto.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L16-S-Turismo-Nautico-Com-Ortiz-Mocoto.jpg,-30.02057,-51.25582
P17,Turismo Náutico - Comandante Rones Maciel,"Av. Nossa Senhora da Boa Viagem, 1390 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Em frente ao Marina Jet Club - Barcos Cisne Branco e Porto Alegre 10,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P17-Turismo-Nautico-Com-Rones-Maciel.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L17-G3T-Turismo-Nautico-Com-Rones-Maciel.jpg,-30.01875,-51.25655
P18,Rádio Guaíba - Transmissores,"Av. Nossa Senhora da Boa Viagem, 832 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Antenas da Rádio Guaíba,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P18-Transmissores-R-Guaiba.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L18-G4M-Transmissores-R-Guaiba.jpg,-30.02352,-51.25479
P19,AAAPIP,"Av. Presidente Vargas, 660 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS","Associação dos Amigos, Artesãos e Pescadores da Ilha da Pintada",,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P19-AAAPIP.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L19-G4M-AAAPIP.jpg,-30.02540,-51.25424
P20,Quilombo de Resistência - AFROSOL,"Av. Presidente Vargas, 530 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Centro de Umbanda Reino de Iemanjá e Oxossi; Associação Escola de Samba Afrocultural Unidos do Por do Sol,,{https://www.youtube.com/embed/Q-nUifGA44M},https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P20-Quilombo-de-Resistencia-AFROSOL.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L20-G4T-Quilombo-de-Resistencia-AFROSOL.jpg,-30.02656,-51.25368
P21,Capela Nossa Senhora dos Navegantes ,"Av. Presidente Vargas, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Em frente à Escola E.E.F. Maria José Mabilde,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P21-Capela-NS-Navegantes.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L21-G5T-Capela-NS-Navegantes.jpg,-30.02781,-51.25307
P22,Escola E.E.F. Maria José Mabilde,"Av. Presidente Vargas, 129 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Escola Estadual de Ensino Fundamental Maria José Mabilde; criada em 1879,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P22-Escola-M-J-Mabilde.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L22-G5M-Escola-M-J-Mabilde.jpg,-30.02792,-51.25290
P23,Maria José Mabilde ,"Av. Presidente Vargas, 129 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Educadora (1857-1941); junto à Escola E.E.F. Maria José Mabilde ,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P23-Maria-J-Mabilde.jpg,,-30.02803,-51.25285
P24,Reino de Ogun e Iansã,"Av. Presidente Vargas, 110 - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Centro de Umbanda,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P24-Reino-Ogum-Iansa.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L24-G5M-Reino-Ogum-Iansa.jpg,-30.02920,-51.25257
P25,Estaleiro Mabilde ,"Rua dos Marinheiros, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Fundado em 1912; (esq. Av. Presidente Vargas),,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P25-Estaleiro-Mabilde.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L25-G5T-Estaleiro-Mabilde.jpg,-30.02958,-51.25262
P26,Vista para Ilha da Casa da Pólvora,"Av. Nossa Senhora da Boa Viagem, s/n - Ilha da Pintada - Bairro Arquipélago - Porto Alegre - RS",Trapiche - Ao lado do Estaleiro Mabilde,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L26-G2M-Vista-Ilha-da-Polvora.jpg,,-30.02853,-51.25201
P27,Mapa Turístico Ilha Grande dos Marinheiros,"Rua Santa Rita de Cassia, 100 - Ilha Grande dos Marinheiros - Bairro Arquipélago - Porto Alegre - RS",Ilha Grande dos Marinheiros - Mapa Turístico,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P27-Mapa-IGM.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L27-Mapa-EEEF-A-Peixoto.jpg,-29.99310,-51.22431
P28,Ciclo da Educação,"Rua Santa Rita de Cassia, 100 - Ilha Grande dos Marinheiros - Bairro Arquipélago - Porto Alegre - RS",Ilha Grande dos Marinheiros - Escola Estadual de Ensino Fundamental Alvarenga Peixoto,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P28-Educacao-EEEF-A-Peixoto.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L28-Educacao-EEEF-A-Peixoto.jpg,-29.99321,-51.22486
P29,Ipiranga Petróleo nas Ilhas,Rua Santa Rita de Cassia - Ilha Grande dos Marinheiros - Bairro Arquipélago - Porto Alegre - RS,Ilha Grande dos Marinheiros - Ipiranga Petróleo nas Ilhas,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P29-Ipiranga.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L29-Ipiranga.jpg,-29.99245,-51.22678
P30,Primeiro Avião Comercial do Brasil,Rua Santa Rita de Cassia - Ilha Grande dos Marinheiros - Bairro Arquipélago - Porto Alegre - RS,Ilha Grande dos Marinheiros - Primeiro Avião Comercial do Brasil,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P30-Prim-Aviao.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L30-Prim-Aviao.jpg,-29.99151,-51.22571
P31,Origem do Nome da I.G.M.,"Rua Nossa Senhora Aparecida, 3144 - Ilha Grande dos Marinheiros - Bairro Arquipélago - Porto Alegre - RS",Ilha Grande dos Marinheiros - Origem do Nome da I.G.M.,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P31-Origem-do-Nome-IGM.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L31-Origem%20do%20Nome%20IGM.jpg,-29.96827,-51.22999
P32,Devoção e Religiosidade,"Rua Nossa Senhora Aparecida, 3144 - Ilha Grande dos Marinheiros - Bairro Arquipélago - Porto Alegre - RS",Ilha Grande dos Marinheiros - Centro Social e Escola Marista de Educação Infantil Nossa Senhora Aparecida das Águas,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P32-Devocao-Religiosidade.jpg,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/local/L32-Devocao-e-Religiosidade-x.jpg,-29.96758,-51.23028
P33,Igreja Nossa Senhora do Menino Jesus,"Rua do Pescador, 510 - Ilha das Flores - Bairro Arquipélago - Porto Alegre - RS",Ilha das Flores - Igreja Nossa Senhora do Menino Jesus,,,x,x,-29.98632,-51.24537
P34,Origem do Nome da Ilha das Flores,"Rua do Pescador, 690 - Ilha das Flores - Bairro Arquipélago - Porto Alegre - RS",Escola Estadual de Ensino Fundamental Oscar Schmitt,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P34-Nome-Ilha-das-Flores.jpg,,-29.98579,-51.24714
P35,Ciclo da Educação,"Rua do Pescador, 690 - Ilha das Flores - Bairro Arquipélago - Porto Alegre - RS",Escola Estadual de Ensino Fundamental Oscar Schmitt,,,x,x,-29.98627,-51.24716
P36,Vila Genny - Colonização Alemã na Ilha,Rua dos Pescadores - Ilha das Flores - Bairro Arquipélago - Porto Alegre - RS,Ilha das Flores - Vila Genny - Colonização Alemã na Ilha,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P36-Vila-Genny.jpg,,-29.99054,-51.26617
P37,Marina das Flores,"Rua do Pescador, 22  - Ilha das Flores - Bairro Arquipélago - Porto Alegre - RS",Ilha das Flores - Marina das Flores,,,x,x,-29.98975,-51.26591
P38,Associação Ilhéus Ecológicos,Rua do Pescador - Ilha das Flores - Bairro Arquipélago - Porto Alegre - RS,Ilha das Flores - Associação Ilhéus Ecológicos,,,x,x,-29.98988,-51.26639
P39,Origem do Nome da Ilha do Pavão,BR-290 - Ilha do Pavão - Bairro Arquipélago - Porto Alegre - RS,Ilha do Pavão - Origem do Nome da Ilha do Pavão,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P39-Origem-nome-Ilha-do-Pavao.jpg,,-29.99389,-51.21868
P40,Marina São João,"BR-290, 1300 - Ilha do Pavão - Bairro Arquipélago - Porto Alegre - RS",Ilha do Pavão - Marina São João,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P40-Marina-Clube-Sao-Joao.jpg,,-29.99370,-51.21954
P41,Grêmio Náutico União,Ilha do Pavão - Bairro Arquipélago - Porto Alegre - RS,Ilha do Pavão - Grêmio Náutico União,,,https://raw.githubusercontent.com/smaprs/mapa-museu-pintada/master/painel/P41-Gremio-Nautico-Uniao.jpg,,-30.01444,-51.22027
